volume:ID,date:date
11998315000017,2018-06-17
11998315000014,2015-12-27
119983160000147,2015-02-15
119983160000146,2018-01-18
119983160000158,2017-11-30
119983160000178,2020-10-12
119983160000116,2021-03-31
119983160000165,2016-11-27
119983160000137,2019-11-27
11998316000093,2017-08-22
119983160000130,2020-01-31
11998320000035,2017-11-25
11998320000029,2017-10-02
119983200000122,2017-02-05
11998320000032,2020-11-04
1199832100004,2021-02-10
1199832100006,2018-04-09
1199832100003,2016-10-11
11998323000011,2018-06-18
11998325000058,2021-06-01
11998325000063,2019-02-11
11998325000055,2016-07-10
11998325000061,2015-06-16
11998325000065,2018-06-20
11998325000053,2017-04-15
11998325000067,2015-12-26
11998325000056,2020-12-28
11998325000047,2021-08-20
11998326000088,2021-12-20
11998326000062,2017-10-05
11998326000094,2015-01-16
11998326000059,2015-02-19
11998326000072,2019-06-23
11998326000056,2021-10-24
1199832700003,2017-01-19
11998327000015,2021-08-27
11998328000011,2021-03-15
1199833000001,2019-10-07
1199833100009,2018-02-19
1199833100001,2018-11-10
11998332000018,2015-10-17
11998334000016,2016-01-23
1199833500002,2021-01-08
1199833600004,2019-07-17
1199833600003,2020-03-07
11998338000020,2019-04-08
119983390000175,2016-07-20
119983390000235,2020-11-11
119983390000180,2018-02-17
119983390000210,2019-11-09
119983390000238,2017-04-15
119983390000255,2016-04-19
119983390000177,2019-03-11
119983390000181,2020-02-26
119983390000217,2021-11-27
119983390000160,2018-02-21
11998341000043,2021-01-20
119983410000104,2016-08-15
119983410000115,2020-11-15
11998341000027,2016-08-03
11998341000044,2021-04-19
11998341000042,2016-01-10
11998341000026,2021-04-04
11998341000050,2019-04-13
119983410000121,2016-05-14
11998341000057,2019-08-15
11998341000089,2021-08-14
11998345000058,2017-05-22
11998345000069,2018-12-04
11998345000070,2020-03-14
11998345000066,2016-08-27
11998345000062,2017-08-05
11998345000057,2018-05-09
11998345000071,2018-01-30
11998345000067,2020-12-26
11998345000065,2018-05-08
11998345000059,2015-05-06
11998345000052,2018-11-11
11998345000068,2018-12-20
11998345000056,2021-10-30
11998346000065,2017-03-25
11998346000061,2015-11-28
11998346000060,2017-12-11
