article:ID,author:string[],author-aux:string,author-orcid:string[],booktitle:string,cdate:date,cdrom:string,cite:string[],cite-label:string[],crossref:string,editor:string[],editor-orcid:string[],ee:string[],ee-type:string[],i:string[],journal:string,key:string,mdate:date,month:string,note:string[],note-label:string,note-type:string[],number:string,pages:string,publisher:string,publnr:string,publtype:string,sub:string[],sup:string[],title:string[],title-bibtex:string,tt:string[],url:string,volume:string,year:int,abstract:string[]
1959859,Ruay-Shiung Chang|Seiven Leu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1049/iet-com.2010.0341,NA,NA,IET Commun.,journals/iet-com/LeuC11,2020-09-08,NA,NA,NA,NA,16,2356-2363,NA,NA,NA,NA,NA,Simple algorithm for solving broadcast storm in mobile ad hoc network.,NA,NA,db/journals/iet-com/iet-com5.html#LeuC11,5,2011,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2401590,Beihai Tan|Dongdong Ye|Min Hao|Rong Yu|Siming Wang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.phycom.2021.101470,NA,NA,Phys. Commun.,journals/phycomm/HaoYWTY21,2022-01-14,NA,NA,NA,NA,NA,101470,NA,NA,NA,NA,NA,URLLC resource slicing and scheduling for trustworthy 6G vehicular services: A federated reinforcement learning approach.,NA,NA,db/journals/phycomm/phycomm49.html#HaoYWTY21,49,2021,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2440968,Alexander Kotsev|Laurent Spinelle|Marco Signorini|Massimo Craglia|Michel Gerboles|Sven Schade,NA,0000-0001-5677-5209|0000-0001-6244-6428|0000-0002-5204-5919|0000-0002-5832-3588|0000-0002-7015-1627|0000-0003-0411-741X,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.3390/s16030403|https://www.wikidata.org/entity/Q28601669,oa,NA,Sensors,journals/sensors/KotsevSCGSS16,2018-11-14,NA,NA,NA,NA,3,403,NA,NA,NA,NA,NA,Next Generation Air Quality Platform: Openness and Interoperability for the Internet of Things.,NA,NA,db/journals/sensors/sensors16.html#KotsevSCGSS16,16,2016,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2039088,Bapurao C. Dhage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.aml.2003.10.014,NA,NA,Appl. Math. Lett.,journals/appml/Dhage05,2017-05-26,NA,NA,NA,NA,3,273-280,NA,NA,NA,NA,NA,On a fixed point theorem in Banach algebras with applications.,NA,NA,db/journals/appml/appml18.html#Dhage05,18,2005,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2484736,Ali Husseinzadeh Kashan|Behrooz Karimi,NA,0000-0003-3556-8643,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.cie.2008.05.007,NA,NA,Comput. Ind. Eng.,journals/candie/KashanK09,2020-02-20,NA,NA,NA,NA,1,216-223,NA,NA,NA,NA,NA,A discrete particle swarm optimization algorithm for scheduling parallel machines.,NA,NA,db/journals/candie/candie56.html#KashanK09,56,2009,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1199510,Michael A. Palis|Oscar H. Ibarra|Sam M. Kim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/0743-7315(85)90034-6,NA,NA,J. Parallel Distributed Comput.,journals/jpdc/IbarraPK85,2020-02-22,NA,NA,NA,NA,2,182-218,NA,NA,NA,NA,NA,Some results concerning linear iterative (systolic) arrays.,NA,NA,db/journals/jpdc/jpdc2.html#IbarraPK85,2,1985,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
174826,Svyatoslav Kotusev,NA,0000-0002-8339-3561,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1142/S0218843017300029,NA,NA,Int. J. Cooperative Inf. Syst.,journals/ijcis/Kotusev17a,2019-12-18,NA,NA,NA,NA,4,1730002:1-1730002:84,NA,NA,NA,NA,NA,Enterprise Architecture: What Did We Study?,NA,NA,db/journals/ijcis/ijcis26.html#Kotusev17a,26,2017,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1239428,Janis P. Terpenny|Jiachuan Wang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1023/A%3A1022947329200,NA,NA,J. Intell. Manuf.,journals/jim/WangT03,2020-09-24,NA,NA,NA,NA,2,153-167,NA,NA,NA,NA,NA,Interactive evolutionary solution synthesis in fuzzy set-based preliminary engineering design.,NA,NA,db/journals/jim/jim14.html#WangT03,14,2003,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2471281,Boyu Zhang|Xiang Chen 0011|Xuebo Zhang|Yongchun Fang,NA,0000-0001-5308-6539,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1007/s41315-019-00102-6,NA,NA,Int. J. Intell. Robotics Appl.,journals/ijira/ZhangZCF19,2020-09-17,NA,NA,NA,NA,4,342-361,NA,NA,NA,NA,NA,Coverage optimization of visual sensor networks for observing 3-D objects: survey and comparison.,NA,NA,db/journals/ijira/ijira3.html#ZhangZCF19,3,2019,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
54452,F. P. Fernandes|F. W. S. Lima|João Antônio Plascak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.cpc.2010.03.007,NA,NA,Comput. Phys. Commun.,journals/cphysics/FernandesLP10,2020-05-19,NA,NA,NA,NA,7,1218-1223,NA,NA,NA,NA,NA,Blume-Capel model on directed and undirected small-world Voronoi-Delaunay random lattices.,NA,NA,db/journals/cphysics/cphysics181.html#FernandesLP10,181,2010,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2058566,Inmaculada Gómez|J. M. Franco|Luis Rández,NA,0000-0002-4238-3228,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1023/A:1016629706668,NA,NA,Numer. Algorithms,journals/na/FrancoGR01,2020-04-25,NA,NA,NA,NA,4,347-363,NA,NA,NA,NA,NA,Four-stage symplectic and P-stable SDIRKN methods with dispersion of high order.,NA,NA,db/journals/na/na26.html#FrancoGR01,26,2001,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2736021,Dhananjay S. Phatak|Rory G. Mulvaney,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/TNN.2005.860830|https://www.wikidata.org/entity/Q51250691,NA,NA,IEEE Trans. Neural Networks,journals/tnn/MulvaneyP06,2018-11-14,NA,NA,NA,NA,1,81-93,NA,NA,NA,NA,NA,Generalized haar DWT and transformations between decision trees and neural networks.,NA,NA,db/journals/tnn/tnn17.html#MulvaneyP06,17,2006,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
672806,Nikhil R. Pal|Sankar K. Pal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/0167-8655(87)90061-4,NA,NA,Pattern Recognit. Lett.,journals/prl/PalP87,2020-02-22,NA,NA,NA,NA,4,293-304,NA,NA,NA,NA,NA,Segmentation using contrast and homogeneity measures.,NA,NA,db/journals/prl/prl5.html#PalP87,5,1987,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2835841,Douglas B. West|Gexin Yu|Qi Liu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1002/jgt.20362,NA,NA,J. Graph Theory,journals/jgt/LiuWY09,2020-10-02,NA,NA,NA,NA,4,327-337,NA,NA,NA,NA,NA,Implications among linkage properties in graphs.,NA,NA,db/journals/jgt/jgt60.html#LiuWY09,60,2009,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1712541,Hsuan-Lei Shao|Sieh-Chuen Huang|Yun-Cheng Tsai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://arxiv.org/abs/1801.00912,oa,NA,CoRR,journals/corr/abs-1801-00912,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,informal,NA,NA,How the Taiwanese Do China Studies: Applications of Text Mining.,NA,NA,db/journals/corr/corr1801.html#abs-1801-00912,abs/1801.00912,2018,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
926158,Hendra Suwanda|William Yip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J. Object Oriented Program.,journals/joop/SuwandaY95,2020-06-08,NA,NA,NA,NA,2,38-44,NA,NA,NA,NA,NA,Using C++ Class Templates.,NA,NA,db/journals/joop/joop8.html#SuwandaY95,8,1995,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1062811,Daniel Raviv|Sridhar R. Kundur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1006/cviu.1998.0699,NA,NA,Comput. Vis. Image Underst.,journals/cviu/KundurR99,2020-02-21,NA,NA,NA,NA,2,169-182,NA,NA,NA,NA,NA,Novel Active Vision-Based Visual Threat Cue for Autonomous Navigation Tasks.,NA,NA,db/journals/cviu/cviu73.html#KundurR99,73,1999,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
937786,Philipp Diebold|Sven Theobald,NA,0000-0001-7491-6431|0000-0002-3910-7898,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1002/smr.1935,NA,NA,J. Softw. Evol. Process.,journals/smr/DieboldT18,2020-03-06,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,How is agile development currently being used in regulated embedded domains?,NA,NA,db/journals/smr/smr30.html#DieboldT18,30,2018,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2355012,Jon Montalban|Julián Flórez 0001|Mikel Zorrilla|Pablo Angueira|Roberto Viola|Ángel Martín,NA,0000-0002-8201-2632|0000-0003-0309-3401,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/TBC.2019.2954097,NA,NA,IEEE Trans. Broadcast.,journals/tbc/MartinVZFAM20,2021-09-11,NA,NA,NA,NA,2,264-278,NA,NA,NA,NA,NA,"MEC for Fair, Reliable and Efficient Media Streaming in Mobile Networks.",NA,NA,db/journals/tbc/tbc66.html#MartinVZFAM20,66,2020,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
253892,Alireza Khayatian|Heydar Toossian Shandiz|Mehrnoosh Asadi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1093/imamci/dnw052,NA,NA,IMA J. Math. Control. Inf.,journals/imamci/AsadiSK18,2020-07-03,NA,NA,NA,NA,2,357-373,NA,NA,NA,NA,NA,Time scale separation in control of a single-link flexible-joint robot manipulator.,NA,NA,db/journals/imamci/imamci35.html#AsadiSK18,35,2018,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
742910,Aya Hellal|Lotfi Ben Romdhane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1007/s10844-012-0213-8,NA,NA,J. Intell. Inf. Syst.,journals/jiis/HellalR13,2017-05-26,NA,NA,NA,NA,1,1-15,NA,NA,NA,NA,NA,NODAR: mining globally distributed substructures from a single labeled graph.,NA,NA,db/journals/jiis/jiis40.html#HellalR13,40,2013,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1121764,Sakaé Fuchino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1305/ndjfl/1093634482,NA,NA,Notre Dame J. Formal Log.,journals/ndjfl/Fuchino92,2020-05-21,NA,NA,NA,NA,4,481-492,NA,NA,NA,NA,NA,On Potential Embedding and Versions of Martin's Axiom.,NA,NA,db/journals/ndjfl/ndjfl33.html#Fuchino92,33,1992,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2142989,Christos Masouros|Fan Liu 0005|Li Chen 0015|Weidong Wang,NA,0000-0002-1754-0607|0000-0002-3550-0625|0000-0002-5299-9317|0000-0002-8259-6615,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/TSP.2021.3077307,NA,NA,IEEE Trans. Signal Process.,journals/tsp/ChenLWM21,2021-06-01,NA,NA,NA,NA,NA,2752-2765,NA,NA,NA,NA,NA,Joint Radar-Communication Transmission: A Generalized Pareto Optimization Framework.,NA,NA,db/journals/tsp/tsp69.html#ChenLWM21,69,2021,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1801879,Charles Levert|Makan Pourzandi|Marc Chatel|Michel Dagenais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://arxiv.org/abs/cs/0412039,oa,NA,CoRR,journals/corr/abs-cs-0412039,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,informal,NA,NA,Security in Carrier Class Server Applications for All-IP Networks,NA,NA,db/journals/corr/corr0412.html#abs-cs-0412039,abs/cs/0412039,2004,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1519583,B. B. Blumenthal|David J. Gilmore|Russel L. Winder|Simon P. Davies|Thomas R. G. Green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1080/10447319209526026,NA,NA,Int. J. Hum. Comput. Interact.,journals/ijhci/GreenGBDW92,2020-06-18,NA,NA,NA,NA,1,1-34,NA,NA,NA,NA,NA,Towards a cognitive browser for OOPS.,NA,NA,db/journals/ijhci/ijhci4.html#GreenGBDW92,4,1992,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
876043,Abdur Rasool|Mingqing Huang|Qiang Qu|Qingshan Jiang,NA,0000-0001-5334-9001|0000-0001-5814-8460|0000-0001-8029-4819|0000-0002-8040-0308,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.3390/sym13050869,oa,NA,Symmetry,journals/symmetry/HuangJQR21,2021-07-13,NA,NA,NA,NA,5,869,NA,NA,NA,NA,NA,An Overlapping Community Detection Approach in Ego-Splitting Networks Using Symmetric Nonnegative Matrix Factorization.,NA,NA,db/journals/symmetry/symmetry13.html#HuangJQR21,13,2021,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2004151,Artsiom Harol|Carmen Lai|Elzbieta Pekalska|Robert P. W. Duin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1007/s10044-006-0050-x,NA,NA,Pattern Anal. Appl.,journals/paa/HarolLPD07,2017-05-20,NA,NA,NA,NA,1,55-68,NA,NA,NA,NA,NA,Pairwise feature evaluation for constructing reduced representations.,NA,NA,db/journals/paa/paa10.html#HarolLPD07,10,2007,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
467615,Marco Crepaldi|Mariagrazia Graziano|Mario R. Casu|Maurizio Zamboni,NA,0000-0001-8179-5973|0000-0002-5881-3720,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.vlsi.2008.07.005,NA,NA,Integr.,journals/integration/CrepaldiCGZ09,2020-02-20,NA,NA,NA,NA,1,47-60,NA,NA,NA,NA,NA,"A mixed-signal demodulator for a low-complexity IR-UWB receiver: Methodology, simulation and design.",NA,NA,db/journals/integration/integration42.html#CrepaldiCGZ09,42,2009,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2301620,Raynald Labrecque,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.3390/e11040798,oa,NA,Entropy,journals/entropy/Labrecque09,2018-08-14,NA,NA,NA,NA,4,798-806,NA,NA,NA,NA,NA,Exergy as a Useful Variable for Quickly Assessing the Theoretical Maximum Power of Salinity Gradient Energy Systems.,NA,NA,db/journals/entropy/entropy11.html#Labrecque09,11,2009,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2322813,David A. Wagner 0001|David Molnar|Naveen Sastry|Tadayoshi Kohno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://eprint.iacr.org/2006/081,oa,NA,IACR Cryptol. ePrint Arch.,journals/iacr/MolnarKSW06,2020-05-11,NA,NA,NA,NA,NA,81,NA,NA,informal,NA,NA,"Tamper-Evident, History-Independent, Subliminal-Free Data Structures on PROM Storage -or- How to Store Ballots on a Voting Machine.",NA,NA,db/journals/iacr/iacr2006.html#MolnarKSW06,2006,2006,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1586688,Farzad Khalvati|Sajith Rajapaksa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/abs/2111.14953,oa,NA,CoRR,journals/corr/abs-2111-14953,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,informal,NA,NA,Localized Perturbations For Weakly-Supervised Segmentation of Glioma Brain Tumours.,NA,NA,db/journals/corr/corr2111.html#abs-2111-14953,abs/2111.14953,2021,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1832450,Agnes B. Fogo|Bennett A. Landman|Haichun Yang|Joseph T. Roland|Le Lu 0001|Ruining Deng|Ye Chen|Yuankai Huo|Yuzhe Lu|Zheyu Zhu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/abs/2006.02474,oa,NA,CoRR,journals/corr/abs-2006-02474,2020-06-15,NA,NA,NA,NA,NA,NA,NA,NA,informal,NA,NA,CircleNet: Anchor-free Detection with Circle Representation.,NA,NA,db/journals/corr/corr2006.html#abs-2006-02474,abs/2006.02474,2020,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2349386,Douglas A. Kimber|Eric J. Bauer|Paul H. Franklin|Xuemei Zhang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1002/bltj.20174,NA,NA,Bell Labs Tech. J.,journals/bell/KimberZFB06,2020-02-27,NA,NA,NA,NA,3,7-19,NA,NA,NA,NA,NA,Modeling planned downtime.,NA,NA,db/journals/bell/bell11.html#KimberZFB06,11,2006,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
739923,Stamatis Karnouskos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ercim-news.ercim.eu/en97/special/security-in-the-era-of-cyber-physical-systems-of-systems,oa,NA,ERCIM News,journals/ercim/Karnouskos14,2019-05-22,NA,NA,NA,NA,97,NA,NA,NA,informal,NA,NA,Security in the Era of Cyber-Physical Systems of Systems.,NA,NA,db/journals/ercim/ercim2014.html#Karnouskos14,2014,2014,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2495994,Turgay Korkmaz|Xinran Yu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.5430/air.v4n2p1,oa,NA,Artif. Intell. Res.,journals/aires/YuK15,2021-02-10,NA,NA,NA,NA,2,1-12,NA,NA,NA,NA,NA,Heavy path based super-sequence frequent pattern mining on web log dataset.,NA,NA,db/journals/aires/aires4.html#YuK15,4,2015,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
589690,Jingwen Liu|Shunsuke Kamijo|Yanlei Gu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1007/s00530-017-0570-9,NA,NA,Multim. Syst.,journals/mms/LiuGK18,2020-09-06,NA,NA,NA,NA,4,439-457,NA,NA,NA,NA,NA,Customer pose estimation using orientational spatio-temporal network from surveillance camera.,NA,NA,db/journals/mms/mms24.html#LiuGK18,24,2018,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
111135,Anil Kumar Verma|Sanjeev Rao|Tarunpreet Bhatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.eswa.2021.115742,NA,NA,Expert Syst. Appl.,journals/eswa/RaoVB21,2021-10-28,NA,NA,NA,NA,NA,115742,NA,NA,NA,NA,NA,"A review on social spam detection: Challenges, open issues, and future directions.",NA,NA,db/journals/eswa/eswa186.html#RaoVB21,186,2021,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2809903,Nimrod Megiddo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1137/0212052|https://www.wikidata.org/entity/Q30053333,NA,NA,SIAM J. Comput.,journals/siamcomp/Megiddo83a,2018-11-14,NA,NA,NA,NA,4,759-776,NA,NA,NA,NA,3,Linear-Time Algorithms for Linear Programming in R,NA,NA,db/journals/siamcomp/siamcomp12.html#Megiddo83a,12,1983,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1725914,Shin-ichi Maeda|Yasuhiro Fujita 0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://arxiv.org/abs/1802.07564,oa,NA,CoRR,journals/corr/abs-1802-07564,2018-10-14,NA,NA,NA,NA,NA,NA,NA,NA,informal,NA,NA,Clipped Action Policy Gradient.,NA,NA,db/journals/corr/corr1802.html#abs-1802-07564,abs/1802.07564,2018,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1395429,Brad A. Myers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/98.878542,NA,NA,IEEE Wirel. Commun.,journals/wc/Myers00,2020-05-17,NA,NA,NA,NA,5,62-65,NA,NA,NA,NA,NA,Using multiple devices simultaneously for display and control.,NA,NA,db/journals/wc/wc7.html#Myers00,7,2000,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
384345,Frederik Vandeputte|Lieven Eeckhout,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1007/978-3-642-24568-8_8,NA,NA,Trans. High Perform. Embed. Archit. Compil.,journals/thipeac/VandeputteE11a,2020-05-18,NA,NA,NA,NA,NA,155-174,NA,NA,NA,NA,NA,Finding Extreme Behaviors in Microprocessor Workloads.,NA,NA,db/journals/thipeac/thipeac4.html#VandeputteE11a,4,2011,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2113807,Bernhard C. Geiger|Christian Gun Wurzer|Florian Kulmer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/TE.2016.2546226,NA,NA,IEEE Trans. Educ.,journals/te/KulmerWG16,2020-04-16,NA,NA,NA,NA,4,282-289,NA,NA,NA,NA,NA,The Magnitude Response Learning Tool for DSP Education: A Case Study.,NA,NA,db/journals/te/te59.html#KulmerWG16,59,2016,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1438686,Andreas Wicht|Marzena Wicht,NA,0000-0002-7763-1682,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/JSTARS.2018.2791410,NA,NA,IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.,journals/staeors/WichtW18,2020-03-31,NA,NA,NA,NA,8,2742-2751,NA,NA,NA,NA,NA,LiDAR-Based Approach for Urban Ventilation Corridors Mapping.,NA,NA,db/journals/staeors/staeors11.html#WichtW18,11,2018,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
709177,Aniket Mahanti|Lal Pratap Verma|Mahesh Kumar|Ranesh Kumar Naha|Varun Kumar Sharma,NA,0000-0003-4165-9349,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.comcom.2020.04.047,NA,NA,Comput. Commun.,journals/comcom/SharmaVKNM20,2021-04-09,NA,NA,NA,NA,NA,141-165,NA,NA,NA,NA,NA,A-CAFDSP: An Adaptive-Congestion Aware Fibonacci Sequence based Data Scheduling Policy.,NA,NA,db/journals/comcom/comcom158.html#SharmaVKNM20,158,2020,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
555072,Jinyi Guo|Shijie Peng|Xuechao Wu|Yang Li 0090|Zi Ming,NA,0000-0002-8287-403X|0000-0002-8323-0922|0000-0002-9337-1382,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/ACCESS.2018.2884982,oa,NA,IEEE Access,journals/access/MingLPWG18,2020-12-16,NA,NA,NA,NA,NA,78333-78341,NA,NA,NA,NA,NA,Selection Based on Colony Fitness for Differential Evolution.,NA,NA,db/journals/access/access6.html#MingLPWG18,6,2018,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
956709,M. M. A. Salama|Mohamed R. Hamouda|Mohammed E. Nassar,NA,0000-0002-3970-4844|0000-0002-4710-7468|0000-0002-9579-9761,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/TSG.2020.3045662,NA,NA,IEEE Trans. Smart Grid,journals/tsg/HamoudaNS21,2021-04-29,NA,NA,NA,NA,3,2165-2175,NA,NA,NA,NA,NA,A Novel Energy Trading Framework Using Adapted Blockchain Technology.,NA,NA,db/journals/tsg/tsg12.html#HamoudaNS21,12,2021,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2387600,Frans C. Bussemaker|Vladimir D. Tonchev,NA,0000-0003-1806-3571,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/0012-365X(89)90286-0,oa,NA,Discret. Math.,journals/dm/BussemakerT89,2021-02-12,NA,NA,NA,NA,1,45-49,NA,NA,NA,NA,NA,New extremal doubly-even codes of length 56 derived from Hadamard matrices of order 28.,NA,NA,db/journals/dm/dm76.html#BussemakerT89,76,1989,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
691191,Nikunja Mohan Modak|Peter Kelle,NA,0000-0001-7646-5750,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1080/01605682.2019.1654413,NA,NA,J. Oper. Res. Soc.,journals/jors/ModakK21,2021-04-09,NA,NA,NA,NA,1,61-77,NA,NA,NA,NA,NA,Using social work donation as a tool of corporate social responsibility in a closed-loop supply chain considering carbon emissions tax and demand uncertainty.,NA,NA,db/journals/jors/jors72.html#ModakK21,72,2021,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
837034,Kobra Behzadi|Masoud Baghelani,NA,0000-0002-9208-4592,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1049/iet-cds.2020.0216,NA,NA,IET Circuits Devices Syst.,journals/iet-cds/BehzadiB20,2021-01-26,NA,NA,NA,NA,8,1265-1271,NA,NA,NA,NA,NA,Bandwidth controlled weakly connected MEMS resonators based narrowband filter.,NA,NA,db/journals/iet-cds/iet-cds14.html#BehzadiB20,14,2020,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1128861,Ricardo Gómez|Shaun Pather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1002/j.1681-4835.2012.tb00355.x,NA,NA,Electron. J. Inf. Syst. Dev. Ctries.,journals/ejisdc/GomezP12,2022-02-16,NA,NA,NA,NA,1,1-14,NA,NA,NA,NA,NA,ICT Evaluation: Are We Asking the Right Questions?,NA,NA,db/journals/ejisdc/ejisdc50.html#GomezP12,50,2012,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1576292,Jaime Galán-Jiménez|Javier Berrocal|Juan Luis Herrera|Juan Manuel Murillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/abs/2104.06926,oa,NA,CoRR,journals/corr/abs-2104-06926,2021-04-19,NA,NA,NA,NA,NA,NA,NA,NA,informal,NA,NA,Optimizing Response Time in SDN-Edge Environments for Time-Strict IoT Applications.,NA,NA,db/journals/corr/corr2104.html#abs-2104-06926,abs/2104.06926,2021,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2317683,Hyeong Soo Chang|Jiaqiao Hu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1007/s10957-012-0082-x,NA,NA,J. Optim. Theory Appl.,journals/jota/ChangH12,2020-04-07,NA,NA,NA,NA,2,594-604,NA,NA,NA,NA,NA,On the Probability of Correct Selection in Ordinal Comparison over Dynamic Networks.,NA,NA,db/journals/jota/jota155.html#ChangH12,155,2012,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2230535,Charles A. Bigelow|Kris Holmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Electron. Publ.,journals/epodd/BigelowH91,2020-09-01,NA,NA,NA,NA,3,171-181,NA,NA,NA,NA,NA,Notes on Apple 4 Fonts.,NA,NA,db/journals/epodd/epodd4.html#BigelowH91,4,1991,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
